Sex,Equipment,AgeCat,WtCat,Place,BestSquat,BestBench,BestDeadlift
1,1,0,69,7,70.0,42.5,90.0
1,1,0,69,8,80.0,35.0,50.0
1,1,0,76,1,200.0,95.0,170.0
1,1,0,76,2,197.5,85.0,170.0
1,1,0,76,3,190.0,72.5,147.5
1,1,0,76,4,160.0,90.0,130.0
1,1,0,76,5,147.5,80.0,137.5
1,1,0,76,6,130.0,70.0,145.0
1,1,0,76,7,115.0,42.5,107.5
1,1,0,76,8,90.0,42.5,90.0
1,1,0,84,1,170.0,75.0,135.0
1,1,0,84,2,147.5,65.0,135.0
1,1,0,84,3,115.0,70.0,125.0
1,1,0,84,4,125.0,65.0,100.0
1,1,0,84,5,115.0,47.5,125.0
1,1,0,84,6,60.0,30.0,65.0
1,1,1,47,1,160.0,75.0,140.0
1,1,1,47,2,122.5,62.5,132.5
1,1,1,47,3,117.5,65.0,117.5
1,1,1,47,4,115.0,40.0,125.0
1,1,1,47,5,105.0,65.0,95.0
1,1,1,47,6,80.0,52.5,100.0
1,1,1,52,1,170.0,77.5,150.0
1,1,1,52,2,160.0,87.5,150.0
1,1,1,52,3,165.0,75.0,145.0
1,1,1,52,4,150.0,55.0,142.5
1,1,1,52,5,135.0,75.0,120.0
1,1,1,52,6,115.0,55.0,130.0
1,1,1,52,7,115.0,52.5,132.5
1,1,1,57,1,200.0,117.5,170.0
1,1,1,57,2,170.0,100.0,175.0
1,1,1,57,3,182.5,90.0,160.0
1,1,1,57,4,172.5,77.5,170.0
1,1,1,57,5,150.0,97.5,155.0
1,1,1,57,6,130.0,60.0,127.5
1,1,1,57,7,100.0,50.0,110.0
1,1,1,57,8,95.0,40.0,110.0
1,1,1,57,9,90.0,45.0,100.0
1,1,1,63,1,192.5,102.5,172.5
1,1,1,63,2,192.5,111.0,162.5
1,1,1,63,3,185.0,102.5,172.5
1,1,1,63,4,167.5,85.0,177.5
1,1,1,63,5,162.5,95.0,150.0
1,1,1,63,6,177.5,70.0,140.0
1,1,1,63,7,165.0,75.0,125.0
1,1,1,63,8,155.0,72.5,135.0
1,1,1,63,9,110.0,62.5,95.0
1,1,1,63,10,110.0,50.0,95.0
1,1,1,69,1,202.5,112.5,180.0
1,1,1,69,2,200.0,110.0,172.5
1,1,1,69,3,197.5,75.0,198.0
1,1,1,69,4,180.0,105.0,150.0
1,1,1,69,5,177.5,97.5,150.0
1,1,1,69,6,170.0,87.5,160.0
1,1,1,69,7,170.0,80.0,140.0
1,1,1,69,8,162.5,75.0,150.0
1,1,1,69,9,150.0,85.0,125.0
1,1,1,69,10,117.5,67.5,157.5
1,1,1,69,11,120.0,52.5,115.0
1,1,1,69,12,102.5,60.0,95.0
1,1,1,76,1,195.0,110.0,175.0
1,1,1,76,2,195.0,105.0,170.0
1,1,1,76,3,195.0,107.5,145.0
1,1,1,76,4,197.5,90.0,142.5
1,1,1,76,5,177.5,85.0,160.0
1,1,1,76,6,160.0,115.0,140.0
1,1,1,76,7,180.0,70.0,155.0
1,1,1,76,8,175.0,55.0,142.5
1,1,1,76,9,140.0,70.0,140.0
1,1,1,76,10,122.5,52.5,132.5
1,1,1,76,11,135.0,55.0,115.0
1,1,1,76,12,100.0,50.0,110.0
1,1,1,84,1,202.5,110.0,182.5
1,1,1,84,2,207.5,112.5,172.5
1,1,1,84,3,200.0,105.0,160.0
1,1,1,84,4,187.5,107.5,152.5
1,1,1,84,5,197.5,77.5,170.0
1,1,1,84,6,195.0,87.5,160.0
1,1,1,84,7,147.5,82.5,147.5
1,1,1,84,8,165.0,85.0,120.0
1,1,1,84,9,110.0,60.0,112.5
1,1,1,100,1,245.0,122.5,200.0
1,1,1,100,2,225.0,130.0,165.0
1,1,1,100,3,230.0,95.0,160.0
1,1,1,100,4,225.0,92.5,165.0
1,1,1,100,5,210.0,105.0,165.0
1,1,1,100,6,197.5,80.0,160.0
1,1,1,100,7,195.0,95.0,130.0
1,1,1,100,8,170.0,92.5,132.5
1,1,1,100,9,155.0,80.0,117.5
1,1,1,100,10,160.0,60.0,117.5
1,1,1,100,11,107.5,50.0,105.0
0,1,2,59,1,220.0,152.5,210.0
