Sex,Equipment,AgeCat,WtCat,Place,BestSquat,BestBench,BestDeadlift
M,C,J,83,5,205.0 [7],147.5 [4],255.0 [6]
M,C,J,83,6,222.5 [5],120.0 [8],257.5 [5]
M,C,J,83,7,217.5 [6],132.5 [6],250.0 [8]
M,C,J,83,8,200.0 [9],165.0 [1],207.5 [12]
M,C,J,83,9,205.0 [8],102.5 [14],230.0 [10]
M,C,J,83,10,180.0 [11],80.0 [17],240.0 [9]
M,C,J,83,11,157.5 [13],85.0 [15],175.0 [15]
M,C,J,83,12,130.0 [14],82.5 [16],160.0 [16]
M,C,J,93,1,272.5 [1],172.5 [1],272.5 [3]
M,C,J,93,2,240.0 [5],147.5 [4],315.0 [1]
M,C,J,93,3,240.0 [4],142.5 [5],262.5 [4]
M,C,J,93,4,250.0 [3],127.5 [10],260.0 [5]
M,C,J,93,5,235.0 [7],165.0 [2],230.0 [14]
M,C,J,93,6,220.0 [8],127.5 [9],280.0 [2]
M,C,J,93,7,207.5 [13],155.0 [3],247.5 [10]
M,C,J,93,8,240.0 [6],120.0 [14],250.0 [8]
M,C,J,93,9,250.0 [2],137.5 [6],217.5 [17]
M,C,J,93,10,220.0 [9],132.5 [8],245.0 [12]
M,C,J,93,11,217.5 [10],122.5 [12],247.5 [9]
M,C,J,93,12,210.0 [12],120.0 [13],250.0 [7]
M,C,J,93,13,212.5 [11],137.5 [7],222.5 [15]
M,C,J,93,14,200.0 [14],125.0 [11],245.0 [11]
M,C,J,93,15,195.0 [15],115.0 [16],255.0 [6]
M,C,J,93,16,170.0 [17],95.0 [18],220.0 [16]
M,C,J,93,17,177.5 [16],110.0 [17],195.0 [18]
M,C,J,105,1,280.0 [1],135.0 [8],270.0 [6]
M,C,J,105,2,270.0 [2],145.0 [4],255.0 [8]
M,C,J,105,3,250.0 [3],140.0 [5],277.5 [2]
M,C,J,105,4,235.0 [6],150.0 [3],272.5 [3]
M,C,J,105,5,237.5 [5],137.5 [7],270.0 [5]
M,C,J,105,6,230.0 [8],135.0 [9],280.0 [1]
M,C,J,105,7,225.0 [11],152.5 [2],262.5 [7]
M,C,J,105,8,227.5 [9],137.5 [6],272.5 [4]
M,C,J,105,9,235.0 [7],125.0 [13],240.0 [10]
M,C,J,105,10,242.5 [4],122.5 [14],235.0 [11]
M,C,J,105,11,227.5 [10],157.5 [1],210.0 [16]
M,C,J,105,12,212.5 [12],127.5 [12],252.5 [9]
M,C,J,105,13,210.0 [13],130.0 [10],225.0 [12]
M,C,J,105,14,205.0 [15],130.0 [11],220.0 [14]
M,C,J,105,15,195.0 [16],117.5 [15],215.0 [15]
M,C,J,105,16,210.0 [14],107.5 [16],200.0 [17]
M,C,J,105,17,165.0 [17],100.0 [18],187.5 [18]
M,C,J,120,1,270.0 [1],173.0 [1],287.5 [1]
M,C,J,120,2,262.5 [2],157.5 [2],242.5 [7]
M,C,J,120,3,235.0 [6],147.5 [4],260.0 [3]
M,C,J,120,4,225.0 [9],147.5 [3],245.0 [5]
M,C,J,120,5,237.5 [5],117.5 [11],262.5 [2]
M,C,J,120,6,225.0 [8],137.5 [5],252.5 [4]
M,C,J,120,7,235.0 [7],137.5 [6],235.0 [8]
M,C,J,120,8,250.0 [3],130.0 [8],222.5 [10]
M,C,J,120,9,225.0 [10],127.5 [9],245.0 [6]
M,C,J,120,10,240.0 [4],120.0 [10],230.0 [9]
M,C,J,120,11,215.0 [11],100.0 [13],220.0 [11]
M,C,J,120,12,190.0 [14],132.5 [7],205.0 [13]
M,C,J,120,13,210.0 [12],110.0 [12],187.5 [14]
M,C,J,120,14,200.0 [13],95.0 [14],212.5 [12]
M,C,J,200,1,255.0 [1],145.0 [2],252.5 [1]
M,C,J,200,2,242.5 [5],142.5 [3],245.0 [4]
M,C,J,200,3,250.0 [2],152.5 [1],222.5 [5]
M,C,J,200,4,227.5 [6],137.5 [4],250.0 [2]
M,C,J,200,5,217.5 [8],130.0 [7],250.0 [3]
M,C,J,200,6,242.5 [4],135.0 [5],210.0 [7]
M,C,J,200,7,220.0 [7],127.5 [8],205.0 [8]
M,C,J,200,8,242.5 [3],110.0 [10],180.0 [10]
M,C,J,200,9,190.0 [9],120.0 [9],220.0 [6]
M,C,J,200,10,190.0 [10],105.0 [11],205.0 [9]
M,C,J,200,11,175.0 [11],95.0 [12],170.0 [11]
M,C,J,200,12,132.5 [12],70.0 [13],157.5 [12]
F,C,SJ,43,1,70.0 [4],47.5 [1],107.5 [1]
F,C,SJ,43,2,80.0 [1],37.5 [5],100.0 [3]
F,C,SJ,43,3,75.0 [2],42.5 [2],100.0 [4]
F,C,SJ,43,4,72.5 [3],40.0 [4],95.0 [5]
F,C,SJ,43,5,55.0 [5],27.5 [6],72.5 [7]
F,C,SJ,43,6,50.0 [6],25.0 [7],65.0 [8]
F,C,SJ,47,1,87.5 [2],42.5 [3],115.0 [1]
F,C,SJ,47,2,90.0 [1],42.5 [1],100.0 [6]
F,C,SJ,47,3,80.0 [5],42.5 [2],107.5 [2]
F,C,SJ,47,4,80.0 [4],30.0 [6],100.0 [4]
F,C,SJ,47,5,82.5 [3],25.0 [8],100.0 [5]
F,C,SJ,47,6,77.5 [6],35.0 [4],95.0 [7]
F,C,SJ,47,7,70.0 [7],30.0 [5],105.0 [3]
F,C,SJ,47,8,67.5 [8],30.0 [7],85.0 [8]
F,C,SJ,52,1,115.0 [1],62.5 [1],132.5 [1]
F,C,SJ,52,2,87.5 [4],57.5 [2],122.5 [2]
F,C,SJ,52,3,95.0 [2],52.5 [4],110.0 [6]
F,C,SJ,52,4,80.0 [6],55.0 [3],115.0 [3]
F,C,SJ,52,5,87.5 [5],45.0 [5],112.5 [4]
F,C,SJ,52,6,92.5 [3],35.0 [7],112.5 [5]
F,C,SJ,52,7,72.5 [8],37.5 [6],102.5 [7]
F,C,SJ,52,8,75.0 [7],30.0 [8],92.5 [8]
F,C,SJ,52,9,55.0 [9],27.5 [9],85.0 [9]
F,C,SJ,52,10,45.0 [10],25.0 [10],85.0 [10]
F,C,SJ,57,1,105.0 [1],55.0 [3],145.0 [1]
F,C,SJ,57,2,102.5 [2],55.0 [2],130.0 [3]
F,C,SJ,57,3,92.5 [4],52.5 [4],122.5 [4]
F,C,SJ,57,4,92.5 [5],50.0 [5],110.0 [8]
F,C,SJ,57,5,90.0 [6],47.5 [6],112.5 [6]
F,C,SJ,57,6,87.5 [8],55.0 [1],107.5 [9]
F,C,SJ,57,7,72.5 [10],37.5 [9],137.5 [2]
F,C,SJ,57,8,90.0 [7],40.0 [7],115.0 [5]
F,C,SJ,57,9,95.0 [3],40.0 [8],110.0 [7]
F,C,SJ,57,10,85.0 [9],32.5 [10],85.0 [10]
F,C,SJ,57,11,47.5 [11],27.5 [11],82.5 [11]
F,C,SJ,63,1,117.5 [1],60.0 [3],155.0 [2]
F,C,SJ,63,2,110.0 [2],82.5 [1],137.5 [3]
F,C,SJ,63,3,90.0 [3],50.0 [4],115.0 [5]
F,C,SJ,63,4,80.0 [4],40.0 [5],120.0 [4]
F,C,SJ,63,5,72.5 [5],40.0 [6],105.0 [6]
F,C,SJ,69,1,127.5 [1],60.0 [2],137.5 [1]
F,C,SJ,69,2,127.5 [2],60.0 [3],127.5 [3]
F,C,SJ,69,3,120.0 [3],60.0 [1],127.5 [2]
F,C,SJ,69,4,77.5 [6],47.5 [4],120.0 [4]
F,C,SJ,69,5,90.0 [5],45.0 [5],90.0 [8]
F,C,SJ,69,6,90.0 [4],35.0 [8],95.0 [6]
F,C,SJ,69,7,70.0 [7],40.0 [6],90.0 [7]
F,C,SJ,76,1,115.0 [2],60.0 [2],125.0 [2]
F,C,SJ,76,2,97.5 [3],62.5 [1],137.5 [1]
F,C,SJ,76,3,117.5 [1],55.0 [4],117.5 [3]
F,C,SJ,76,4,75.0 [5],57.5 [3],110.0 [5]
F,C,SJ,76,5,90.0 [4],40.0 [6],110.0 [4]
F,C,SJ,76,6,70.0 [6],40.0 [7],95.0 [6]
F,C,SJ,76,7,60.0 [7],50.0 [5],90.0 [7]
F,C,SJ,84,1,162.5 [1],66.0 [1],155.0 [1]
F,C,SJ,84,2,110.0 [4],50.0 [3],137.5 [3]
F,C,SJ,84,3,110.0 [2],40.0 [6],140.0 [2]
F,C,SJ,84,4,110.0 [3],47.5 [4],130.0 [4]
F,C,J,43,1,95.0 [1],40.0 [2],102.5 [3]
F,C,J,43,2,80.0 [2],42.5 [1],112.5 [1]
F,C,J,43,3,70.0 [3],27.5 [3],112.5 [2]
F,C,J,47,1,102.5 [1],55.0 [3],130.0 [1]
F,C,J,47,2,87.5 [3],57.5 [2],117.5 [4]
F,C,J,47,3,85.0 [5],47.5 [4],125.0 [3]
F,C,J,47,4,92.5 [2],47.5 [5],107.5 [7]
F,C,J,47,5,87.5 [4],42.5 [7],112.5 [5]
F,C,J,47,6,70.0 [6],42.5 [6],107.5 [6]
F,C,J,47,7,67.5 [7],30.0 [8],92.5 [8]
F,C,J,52,1,120.0 [1],70.0 [1],140.0 [2]
F,C,J,52,2,107.5 [3],52.5 [3],153.0 [1]
F,C,J,52,3,112.5 [2],55.0 [2],115.0 [8]
F,C,J,52,4,92.5 [6],47.5 [7],125.0 [5]
F,C,J,52,5,92.5 [7],50.0 [5],122.5 [7]
F,C,J,52,6,95.0 [5],50.0 [6],115.0 [9]
F,C,J,52,7,80.0 [9],35.0 [8],112.5 [10]
F,C,J,57,1,120.0 [3],70.0 [1],140.0 [2]
F,C,J,57,2,115.0 [4],62.5 [3],150.0 [1]
F,C,J,57,3,122.5 [1],67.5 [2],137.5 [3]
F,C,J,57,4,120.0 [2],52.5 [5],120.0 [6]
F,C,J,57,5,100.0 [6],50.0 [6],130.0 [4]
F,C,J,57,6,100.0 [7],60.0 [4],110.0 [8]
F,C,J,57,7,107.5 [5],47.5 [8],110.0 [9]
F,C,J,57,8,80.0 [9],47.5 [7],112.5 [7]
F,C,J,63,1,112.5 [2],70.0 [3],140.0 [2]
F,C,J,63,2,115.0 [1],80.0 [1],125.0 [6]
F,C,J,63,3,112.5 [3],45.0 [8],135.0 [3]
F,C,J,63,4,107.5 [4],50.0 [6],130.0 [4]
F,C,J,63,5,102.5 [6],55.0 [4],122.5 [7]
F,C,J,63,6,105.0 [5],40.0 [9],117.5 [9]
